Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Введение в гибридные технологии разработки мобильных приложений. Учебное пособие. СПО,"Заяц Анатолий Моисеевич, Васильев Николай Павлович",Лань:Компьютеры и программное обеспечение,931,2069,55,На складе
SQL. Быстрое погружение,Шилдс Уолтер,Питер:Библиотека программиста,1164,1492,22,На складе
Spring Boot по-быстрому,Хеклер Марк,Питер:Бестселлеры O`Reilly,2197,2817,22,На складе
Параллельное программирование на современном С++,Гримм Райнер,ДМК-Пресс,2149,4776,55,На складе
Устройство и программирование автономных роботов. Проекты на Python и Raspberry PI,Стейпл Дэнни,ДМК-Пресс,1397,3105,55,На складе
Практический хакинг интернета вещей,Чанцис Фотиос и др.,ДМК-Пресс,2090,4644,55,На складе
Spring в действии,Уоллс Крейг,ДМК-Пресс,2322,5159,55,На складе
Практическое введение в решение дифференциальных уравнений в Python,Ершов Николай Михайлович,ДМК-Пресс,1161,2580,55,На складе
Open Source. Разработка программ с открытым исходным кодом,Эгбал Надья,Питер:Библиотека программиста,2204,2826,22,На складе
"Теоретический минимум по Computer Science. Сети, криптография и data science","Феррейра Фило Владстон, Пиктет Мото",Питер:Библиотека программиста,1158,1484,22,На складе
Программирование в Roblox. Сделать игру - проще простого,Брамбо Зандер,ДМК-Пресс,1161,2580,55,На складе
Алгоритмы. Самый краткий и понятный курс,Луридас Панос,Бомбора:Библиотека MIT,620,849,27,На складе
Масштабируемый рефакторинг. Возвращаем контроль над кодом,Лемер Мод,Питер:Бестселлеры O`Reilly,1496,1918,22,На складе
Многопоточный JavaScript,"Хантер Томас II, Инглиш Брайан",ДМК-Пресс,1161,2580,55,На складе
JavaScript. Визуальные редакторы. Учебное пособие для СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1257,2794,55,На складе
JavaScript. Визуальные редакторы. Учебное пособие для вузов,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1257,2794,55,На складе
Языки программирования и методы трансляции. Учебное пособие для вузов,Свердлов Сергей Залманович,Лань:Компьютеры и программное обеспечение,1847,4104,55,На складе
Алгоритмы Data Science и их практическая реализация на Python,Протодьяконов Андрей Владимирович и др.,Инфра-Инженерия,1429,3176,55,На складе
Графический анализ на языке R. Учебно-методическое пособие,Лукьянов Павел Борисович,Прометей,525,1167,55,На складе
Head First. Изучаем C#,"Стиллмен Эндрю, Грин Дженнифер",Питер:Head First (O'Reilly),2666,3418,22,На складе
Основы алгоритмизации и программирования на Visual C++. Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Высшее образование. Бакалавриат,2322,5159,55,На складе
Программирование на языке Си. Учебное пособие для вузов,Рацеев Сергей Михайлович,Лань:Компьютеры и программное обеспечение,1801,4003,55,На складе
Руткиты и буткиты. Обратная разработка вредоносных программ и угрозы следующего поколения,Матросов Александр и др.,ДМК-Пресс,2329,5176,55,На складе
Профессиональный бенчмарк. Искусство измерения производительности,Акиньшин Андрей,Питер:Библиотека программиста,2600,3333,22,На складе
Язык программирования C# 9 и платформа .NET 5: основные принципы и практики программирования,"Троелсен Эндрю, Джепикс Филипп",Диалектика,4666,10368,55,На складе
Этичный хакинг. Практическое руководство по взлому,Грэм Дэниел Г.,Питер:Библиотека программиста,2069,2652,22,На складе
Основы построения экономических моделей в Excel. Учебник для СПО,"Воскобойников Юрий Евгеньевич, Мухина Ирина Николаевна",Лань:Компьютеры и программное обеспечение,1153,2563,55,Ограничено
Программирование на языке Си.Учебное пособие для СПО,Рацеев Сергей Михайлович,Лань:Компьютеры и программное обеспечение,1706,3791,55,На складе
JavaScript.Как писать программы.Учебное пособие для вузов,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1233,2740,55,Ограничено
JavaScript.Как писать программы Учебное пособие для СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1233,2740,55,На складе
Теория автоматического управления в примерах и задачах с решениями в MATLAB. Учебное пособие,Гайдук Анатолий Романович и др.,Лань:Учебники для вузов. Специальная литература,2073,4607,55,Ограничено
Язык программирования С++,Страуструп Бьерн,Бином,1404,3120,55,На складе
Построение распределенных систем на базе WebSocket. Учебное пособие для вузов,"Хабаров Сергей Петрович, Шилкина Мария Львовна",Лань:Компьютеры и программное обеспечение,1320,2933,55,На складе
Svelte и Sapper в действии,Волкманн Марк,Питер:Для профессионалов,3848,4933,22,На складе
Хочу в геймдев! Основы игровой разработки для начинающих,"Уточкин Вячеслав Николаевич, Сахнов Константин Сергеевич",Бомбора:Российский компьютерный бестселлер,965,1322,27,На складе
Разработка игр и теория развлечений,Костер Рэф,ДМК-Пресс,1277,2837,55,На складе
Структуры данных в Python. Начальный курс,Шихи Дональд Р.,ДМК-Пресс,929,2064,55,На складе
Большая книга проектов Python,Свейгарт Эл,Питер,1548,1985,22,На складе
System Design. Подготовка к сложному интервью,Сюй Алекс,Питер,1288,1651,22,На складе
Отзывчивый дизайн на HTML5 и CSS3 для любых устройств,Фрэйн Бен,Питер,2079,2666,22,На складе
Глубокое обучение с подкреплением. Теория и практика на языке Python,"Грессер Лаура, Кенг Ван Лун",Питер:Библиотека программиста,2328,2984,22,На складе
Искусство WebAssembly. Создание безопасных межплатформенных высокопроизводительных приложений,Баттальини Рик,ДМК-Пресс,1161,2580,55,На складе
Микросервисы Spring в действии,"Карнелл Джон, Санчес Иллари Уайлупо",ДМК-Пресс,1974,4386,55,На складе
Осваиваем архитектуру Transformer. Разработка современных моделей с помощью передовых методов,"Йылдырым Саваш, Асгари-Ченаглу Мейсам",ДМК-Пресс,1741,3869,55,На складе
Основы юзабилити-тестирования,Барнум Кэрол М.,ДМК-Пресс,2070,4600,55,На складе
Программирование на Python. Первые шаги,Щерба Анастасия Владимировна,Лаборатория знаний:Школа юного программиста,557,1238,55,На складе
Вычисления в кольцах некоммутативных многочленов. Учебное пособие для вузов,Цирулик Владимир Григорьевич,Лань:Компьютеры и программное обеспечение,1809,4021,55,На складе
Практический анализ двоичных файлов,Эндриесс Дэннис,ДМК-Пресс,1974,4386,55,На складе
Изучаем C# через разработку игр на Unity,Ферроне Харрисон,Питер:Библиотека программиста,1548,1985,22,На складе
Основы алгоритмизации и программирования на языке Паскаль. Лабораторный практикум. Учебное пособие,Коренская Ирина Николаевна,Лань:Компьютеры и программное обеспечение,715,1588,55,На складе
Исследование операций. Том 1. Линейное программирование. Учебник для вузов,Трушков Александр Сергеевич,Лань:Компьютеры и программное обеспечение,1467,3261,55,На складе
Игра в цифры. Как аналитика позволяет видеоиграм жить лучше,Сабиров Василий Константинович,Бомбора:Российский компьютерный бестселлер,1407,1928,27,На складе
Apache Airflow и конвейеры обработки данных,"Харенслак Бас, Руйтер Джулиан де",ДМК-Пресс,2206,4903,55,На складе
Python для всех,Северанс Чарльз Р.,ДМК-Пресс,753,1674,55,На складе
Практикум по проектированию на языках VerilogHDL и SystemVerilog. Учебное пособие,"Мурсаев Александр Хафизович, Буренева Ольга Игоревна",Лань:Учебники для вузов. Специальная литература,675,1499,55,На складе
Использование языка Python в теории вероятности. Учебник,Криволапов Сергей Яковлевич,Прометей,1283,2852,55,На складе
Экономика на Python. Учебник,"Хрипунова Марина Борисовна, Губернаторов Алексей Михайлович",Прометей,1036,2303,55,На складе
Black Hat Python. Программирование для хакеров и пентестеров,"Зейтц Джастин, Арнольд Тим",Питер:Библиотека программиста,1548,1985,22,На складе
Однострочники Python. Лаконичный и содержательный код,Майер Кристиан,Питер:Библиотека программиста,1548,1985,22,На складе
